Distance HF_Energy DFA_Energy Coefficient Exponent
6.40 -0.5000900620 -0.5872123889 9.4241664 22.27463
6.42 -0.5000877514 -0.5872760361 9.2106422 21.90090
6.44 -0.5000855062 -0.5873393071 8.9985957 21.52716
6.46 -0.5000833240 -0.5874022048 8.7879301 21.15343
6.48 -0.5000812030 -0.5874647320 8.5787799 20.77970
6.50 -0.5000791412 -0.5875268916 8.3714689 20.40597
6.52 -0.5000771368 -0.5875886866 8.1653079 20.03224
6.54 -0.5000751879 -0.5876501199 7.9608038 19.65851
6.56 -0.5000732928 -0.5877111941 7.7581145 19.28478
6.58 -0.5000714499 -0.5877719124 7.5568010 18.91104
6.60 -0.5000696576 -0.5878322773 7.3572016 18.53731
6.62 -0.5000679142 -0.5878922919 7.1592464 18.16358
6.64 -0.5000662182 -0.5879519587 6.9631891 17.78985
6.66 -0.5000645682 -0.5880112807 6.7685575 17.41612
6.68 -0.5000629627 -0.5880702604 6.5756297 17.04239
6.70 -0.5000614005 -0.5881289007 6.3845003 16.66866
6.72 -0.5000598800 -0.5881872042 6.1951264 16.29493
6.74 -0.5000584001 -0.5882451736 6.0074978 15.92119
6.76 -0.5000569595 -0.5883028113 5.8216766 15.54746
6.78 -0.5000555569 -0.5883601199 5.6376100 15.17373
6.80 -0.5000541913 -0.5884171017 5.4556115 14.80000
6.82 -0.5000528615 -0.5884737593 5.4605258 14.80000
6.84 -0.5000515664 -0.5885300951 5.4655176 14.80000
6.86 -0.5000503049 -0.5885861115 5.4704716 14.80000
6.88 -0.5000490760 -0.5886418110 5.4753983 14.80000
6.90 -0.5000478788 -0.5886971959 5.4803494 14.80000
6.92 -0.5000467122 -0.5887522687 5.4852388 14.80000
6.94 -0.5000455753 -0.5888070318 5.4900646 14.80000
6.96 -0.5000444673 -0.5888614876 5.4948600 14.80000
6.98 -0.5000433873 -0.5889156385 5.4997319 14.80000
7.00 -0.5000423344 -0.5889694868 5.5045169 14.80000
